ph,ec,OC,N,P,K,Zn,B,Fe,Mn,Cu,S,YLD
acidic,non_saline,high,high,high,low,sufficient,deficient,deficient,sufficient,deficient,deficient,no
neutral,non_saline,high,high,high,low,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
neutral,non_saline,high,high,high,low,deficient,deficient,deficient,deficient,sufficient,sufficient,no
neutral,non_saline,high,high,high,low,sufficient,sufficient,sufficient,deficient,deficient,sufficient,yes
neutral,non_saline,high,high,high,low,sufficient,sufficient,sufficient,deficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,high,high,high,low,sufficient,deficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,low,low,medium,low,sufficient,deficient,sufficient,deficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,medium,low,deficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,low,medium,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,high,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,high,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,medium,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,high,high,high,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
neutral,non_saline,low,low,medium,medium,deficient,sufficient,deficient,deficient,sufficient,sufficient,no
neutral,non_saline,medium,medium,medium,low,deficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,medium,low,low,deficient,sufficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,low,low,low,low,sufficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,sufficient,sufficient,deficient,deficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,sufficient,deficient,deficient,sufficient,deficient,no
acidic,non_saline,low,low,low,medium,sufficient,deficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,low,low,medium,medium,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,sufficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,low,low,low,medium,sufficient,deficient,deficient,sufficient,deficient,sufficient,no
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,sufficient,deficient,deficient,sufficient,deficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,sufficient,deficient,sufficient,no
neutral,non_saline,high,high,low,medium,sufficient,sufficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,high,high,low,medium,sufficient,deficient,deficient,sufficient,deficient,deficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,deficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,high,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
acidic,non_saline,high,high,medium,low,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
neutral,non_saline,high,high,high,medium,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,medium,medium,low,low,sufficient,deficient,deficient,deficient,sufficient,deficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,deficient,sufficient,deficient,no
acidic,non_saline,high,high,low,low,deficient,deficient,deficient,deficient,sufficient,sufficient,no
acidic,non_saline,high,high,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,medium,deficient,sufficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,high,high,low,low,deficient,sufficient,deficient,deficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
neutral,non_saline,low,low,medium,low,sufficient,deficient,sufficient,deficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,medium,low,deficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,low,medium,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,high,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,high,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,medium,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
neutral,non_saline,high,high,high,low,deficient,deficient,deficient,deficient,sufficient,sufficient,no
neutral,non_saline,high,high,high,low,sufficient,sufficient,sufficient,deficient,deficient,sufficient,yes
neutral,non_saline,high,high,high,low,sufficient,sufficient,sufficient,deficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,high,high,high,low,sufficient,deficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,low,low,medium,low,sufficient,deficient,sufficient,deficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,medium,low,deficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,low,medium,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,high,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,high,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,medium,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,sufficient,deficient,sufficient,no
neutral,non_saline,high,high,low,medium,sufficient,sufficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,high,high,low,medium,sufficient,deficient,deficient,sufficient,deficient,deficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,deficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,high,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
acidic,non_saline,high,high,medium,low,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
neutral,non_saline,high,high,high,medium,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,medium,medium,low,low,sufficient,deficient,deficient,deficient,sufficient,deficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,deficient,sufficient,deficient,no
acidic,non_saline,high,high,low,low,deficient,deficient,deficient,deficient,sufficient,sufficient,no
acidic,non_saline,high,high,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,medium,deficient,sufficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,high,high,low,low,deficient,sufficient,deficient,deficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,deficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,low,medium,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,high,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,high,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,medium,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,high,high,high,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
neutral,non_saline,low,low,medium,medium,deficient,sufficient,deficient,deficient,sufficient,sufficient,no
neutral,non_saline,medium,medium,medium,low,deficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
neutral,non_saline,low,low,medium,low,sufficient,deficient,sufficient,deficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,medium,low,deficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,low,medium,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,high,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,high,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,medium,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
neutral,non_saline,high,high,high,low,deficient,deficient,deficient,deficient,sufficient,sufficient,no
neutral,non_saline,high,high,high,low,sufficient,sufficient,sufficient,deficient,deficient,sufficient,yes
neutral,non_saline,high,high,high,low,sufficient,sufficient,sufficient,deficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,high,high,high,low,sufficient,deficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,low,low,medium,low,sufficient,deficient,sufficient,deficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,medium,low,deficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,medium,sufficient,sufficient,sufficient,sufficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,low,medium,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,high,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,high,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,sufficient,deficient,sufficient,no
neutral,non_saline,high,high,low,medium,sufficient,sufficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,high,high,low,medium,sufficient,deficient,deficient,sufficient,deficient,deficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,deficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,high,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
acidic,non_saline,high,high,medium,low,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
neutral,non_saline,high,high,high,medium,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,medium,medium,low,low,sufficient,deficient,deficient,deficient,sufficient,deficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,deficient,sufficient,deficient,no
acidic,non_saline,high,high,low,low,deficient,deficient,deficient,deficient,sufficient,sufficient,no
acidic,non_saline,high,high,low,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,low,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,low,low,deficient,deficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,sufficient,deficient,sufficient,no
neutral,non_saline,high,high,low,medium,sufficient,sufficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,high,high,low,medium,sufficient,deficient,deficient,sufficient,deficient,deficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,deficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,high,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
acidic,non_saline,high,high,medium,low,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
neutral,non_saline,high,high,high,medium,sufficient,sufficient,sufficient,sufficient,sufficient,deficient,yes
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,deficient,sufficient,sufficient,deficient,no
acidic,non_saline,medium,medium,low,low,sufficient,deficient,deficient,deficient,sufficient,deficient,no
acidic,non_saline,medium,medium,low,low,deficient,deficient,deficient,deficient,sufficient,deficient,no
acidic,non_saline,low,low,medium,medium,deficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,low,low,medium,medium,sufficient,sufficient,deficient,sufficient,sufficient,sufficient,no
acidic,non_saline,medium,medium,medium,low,sufficient,deficient,sufficient,sufficient,sufficient,sufficient,no
neutral,non_saline,high,high,high,low,deficient,deficient,deficient,deficient,sufficient,sufficient,no
neutral,non_saline,high,high,high,low,sufficient,sufficient,sufficient,deficient,deficient,sufficient,yes
neutral,non_saline,high,high,high,low,sufficient,sufficient,sufficient,deficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,low,low,sufficient,sufficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,high,high,high,low,sufficient,deficient,sufficient,sufficient,deficient,deficient,yes
neutral,non_saline,low,low,medium,low,sufficient,deficient,sufficient,deficient,sufficient,sufficient,yes
acidic,non_saline,medium,medium,medium,low,deficient,deficient,sufficient,sufficient,sufficient,sufficient,no